HUMIDITY,TEMPERATURE,PRESSURE,WEATHER FORECAST
93,284.61,1028,0
92,284.6073055,1028,1
92,284.5999178,1028,1
92,284.5925301,1028,1
92,284.5851423,1028,1
92,284.5777546,1028,1
91,284.5703669,1028,1
91,284.5629791,1028,1
91,284.5555914,1028,1
91,284.5482037,1028,1
91,284.540816,1028,1
90,284.5334282,1028,1
90,284.5260405,1028,1
90,284.5186528,1028,1
90,284.511265,1028,1
90,284.5038773,1028,1
89,284.4964896,1028,1
89,284.4891018,1028,1
89,284.4817141,1028,1
89,284.4743264,1028,1
89,284.4669387,1028,1
88,284.4595509,1028,1
88,284.4521632,1028,1
88,284.4447755,1028,1
88,284.4373877,1028,1
88,284.43,1028,0
60,285.31,1028,2
60,286.45,1027,3
56,287.84,1026,3
88,289.18,1028,4
88,289.77,1025,3
77,290.57,1024,3
69,290.84,1024,3
57,291.29,1025,4
88,291.01,1024,4
88,290.03,1024,4
93,287.07,1024,5
88,285.71,1024,5
93,284.66,1024,5
93,283.5,1024,5
87,282.66,1023,3
93,282.84,1023,3
93,282.25,1022,3
93,282.25,1022,3
82,281.96,1020,3
87,282.24,1019,3
82,282.77,1019,3
82,283.635,1018,3
82,284.5,1018,5
82,285.84,1018,5
68,288.8866667,1017,5
54,291.9333333,1017,5
40,294.98,1017,5
36,297.14,1017,5
31,298.21,1016,5
31,299.32,1015,5
33,299.53,1015,5
33,299.185,1014,5
33,298.84,1014,5
46,296,1014,3
72,292.12,1014,5
77,290.94,1014,5
82,290.83,1014,5
87,289.76,1015,3
93,288.49,1015,3
87,288.59,1014,3
87,288.94,1014,3
93,288.01,1014,3
93,287.34,1014,3
93,287.12,1014,3
100,285.02,1015,3
93,285.23,1015,3
67,286.1,1015,3
67,286.46,1015,5
61,288.74,1015,5
46,293.84,1015,5
41,295.85,1014,4
41,298.1,1014,5
39,297.93,1013,5
36,298.84,1013,5
36,299.01,1013,4
39,298.77,1013,4
39,296.21,1014,6
47,292.04,1020,3
64,286.14,1021,1
68,289.09,1020,4
68,292.04,1020,3
73,292.04,1020,3
82,284.635,1024,4
83,277.23,1028,7
85,276.65,1027,4
88,276.07,1026,3
88,275.95,1027,4
88,275.83,1028,7
88,275.35,1028,7
88,277.17,1028,7
88,276.93,1028,7
83,275.39,1028,7
83,275.86,1028,7
69,277.19,1024,7
69,277.62,1028,3
61,278.78,1024,3
51,280.55,1023,3
48,280.45,1022,3
43,281.64,1023,3
43,281.21,1024,3
40,281.17,1024,3
48,280.37,1024,1
69,278.85,1024,1
69,278.11,1024,3
73,276.92,1025,4
78,276.2,1024,4
83,276.05,1024,1
83,276.29,1023,4
83,275.62,1022,4
85,275.145,1022,1
88,274.67,1022,7
88,274.26,1022,8
93,273.07,1022,8
93,272.56,1022,9
88,272.5,1022,9
88,272.87,1020,3
73,275.23,1022,1
57,275.77,1023,7
54,276.06,1024,7
54,275.95,1024,7
45,276.45,1024,7
45,276.26,1024,7
42,276.19,1024,7
40,275.86,1024,7
48,275.96,1024,10
54,275.62,1024,9
68,274.95,1025,9
77,278.12,1025,9
82,274.09,1026,9
73,273.58,1025,9
77,273.94,1024,9
80,274.0033333,1023,4
84,274.0666667,1023,1
88,274.13,1023,9
93,274.13,1023,9
93,274.21,1023,9
88,273.91,1022,11
93,273.58,1023,11
93,273.31,1024,11
83,273.06,1024,11
78,273.26,1024,9
73,274.06,1025,9
69,274.52,1025,7
69,274.87,1025,7
64,274.15,1026,7
64,273.87,1025,8
64,273.55,1025,8
61,273.22,1025,9
64,273.67,1025,9
72,273.41,1025,9
72,273.01,1025,7
72,272.82,1025,7
72,272.84,1025,7
82,272.84,1025,7
76,272.79,1024,7
76,273.03,1024,7
81,273.43,1023,7
81,273.51,1023,7
81,273.28,1023,7
81,273.11,1022,3
76,272.12,1022,3
81,271.68,1022,3
81,271.18,1022,5
81,271.93,1022,5
76,274.08,1022,5
71,276.86,1022,3
71,278.19,1019,3
66,281.52,1021,3
66,281.88,1018,3
66,283.27,1017,3
66,283.1,1016,3
66,283.92,1018,5
66,283.54,1018,5
66,281.82,1018,5
66,279.16,1018,4
71,277.78,1018,4
76,276.79,1018,5
81,276.32,1018,3
76,275.89,1017,3
76,275.82,1017,3
70,276.36,1017,3
70,275.675,1017,3
70,274.99,1017,3
66,275.07,1017,3
66,275.4,1016,3
70,275.81,1016,3
66,275.37,1016,5
66,278.67,1016,5
62,282.7,1016,5
62,286.6,1016,5
62,288.12,1015,5
54,289.91,1012,3
51,291.57,1011,3
52,292.91,1010,3
45,292.85,1009,3
46,292.93,1012,4
49,292.7,1011,4
63,290.71,1011,4
67,286.88,1012,5
67,284.98,1013,5
72,285.3,1013,5
72,284.67,1013,5
67,283.64,1014,5
67,284.28,1013,3
67,284.08,1012,3
67,283.6,1013,3
67,282.0233333,1013,3
67,280.4466667,1013,3
67,278.87,1014,3
72,276.88,1017,3
77,276.12,1017,4
77,277.26,1018,1
79,278.29,1017,3
82,279.15,1017,3
68,279.86,1020,7
68,280.71,1019,7
64,281.18,1019,7
71,281.21,1019,7
68,280.57,1020,7
63,284.735,919,1
58,288.9,818,3
58,288.9,818,3
58,288.9,818,3
58,288.9,818,3
58,288.9,818,3
58,288.9,818,3
73,288.9,818,5
88,288.9,818,3
91,278.06,1022,7
94,277.35,1022,3
94,276.82,1022,3
94,276.56,1021,3
94,275.2,1021,3
94,274.97,1021,3
94,275.26,1019,3
88,276.09,1021,1
88,277.88,1021,10
78,282.31,970,4
69,286.74,919,4
60,291.17,868,1
51,295.6,817,3
51,295.6,817,3
48,289.68,1017,1
54,289.88,1017,1
51,288.92,1016,1
57,286.54,1016,1
65,284.71,1016,1
73,282.94,1017,1
83,282.26,1017,1
78,282.5,1017,1
83,282.51,1017,1
83,281.95,1017,3
88,282.07,1016,3
88,282.88,1017,3
88,282.61,1018,5
88,282.44,1017,5
94,282.34,1018,5
94,281.73,1018,3
94,282,1019,4
88,283.23,1019,1
88,284.84,1020,1
69,287.88,1021,1
69,288.19,1022,1
73,288.66,1022,1
70,288.85,1022,1
55,289.29,1021,4
51,290.26,1021,4
65,289.32,1022,4
74,288.18,1022,1
70,288.644,981,1
67,289.108,941,1
64,289.572,901,4
60,290.036,861,4
57,290.5,821,3
83,280.26,1024,4
83,280,1024,3
83,279.74,1023,3
83,279.49,1023,3
88,278.63,1022,3
88,277.95,1021,3
88,277.24,1021,3
94,276.44,1021,3
94,276.17,1021,4
83,276.54,1021,1
83,278.19,1021,1
69,280.45,1020,1
69,282.78,1019,1
61,284.21,1018,7
57,284.11,1019,0
64,287.55,1016,4
54,289.91,1014,4
48,289.83,1013,1
57,287.65,1015,6
57,286.5,1013,1
57,285.17,1014,1
73,284.5,1014,1
78,284.02,1014,1
83,283.89,1014,1
83,283.35,1014,2
83,282.23,1013,4
83,281.71,1013,4
94,282.26,1013,4
88,280.27,1013,1
88,280.47,1013,3
88,280,1013,3
88,279.11,1013,1
88,279.27,1012,1
88,281.2,1012,1
88,281.95,1013,1
